track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0kN8xEmgMW9mh7UmDYHlJP,Versace on the Floor,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,4PgleR09JVnm3zY1fW3XBA,261240,2016-11-17,76,0.578,0.574,2,-6.209,1,0.0454,0.196,0.0,0.083,0.301,174.152
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,4IWBUUAFIplrNtaOHcJPRM,James Arthur,7oiJYvEJHsmYtrgviAVIBD,211466,2016-10-28,88,0.358,0.557,10,-7.398,1,0.059,0.695,0.0,0.0902,0.494,85.043
7BKLCZ1jbUBVqRi2FVlTVw,Closer,69GGBxA162lTqCwzJG5jLp,The Chainsmokers,0rSLgV8p5FzfnqlEk4GzxE,244960,2016-07-29,87,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01
2rizacJSyD9S1IQUxUxnsK,All We Know,69GGBxA162lTqCwzJG5jLp,The Chainsmokers,0xmaV6EtJ4M3ebZUPRnhyb,194080,2016-09-29,71,0.662,0.586,0,-8.821,1,0.0307,0.097,0.00272,0.115,0.296,90.0
5MFzQMkrl1FOOng9tq6R9r,Don't Wanna Know,04gDigrS5kc9YWfZHwBETP,Maroon 5,0fvTn3WXF39kQs9i3bnNpP,214480,2016-10-11,1,0.783,0.623,7,-6.126,1,0.08,0.338,0.0,0.0975,0.447,100.048
6b8Be6ljOzmkOmFslEb23P,24K Magic,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,4PgleR09JVnm3zY1fW3XBA,225983,2016-11-17,81,0.818,0.803,1,-4.282,1,0.0797,0.034,0.0,0.153,0.632,106.97
1qOLh0tI7trd1zdDKxYZTe,Starving,5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld,3Nuw6arrA8kVwhIvyGbiku,181880,2016-07-15,0,0.636,0.633,4,-4.23,1,0.126,0.371,0.0,0.102,0.512,99.721
5hYTyyh2odQKphUbMqc5gN,"How Far I'll Go - From ""Moana""",2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,25IBuKrmZbgOVCGNigTXar,175517,2016-10-28,1,0.314,0.555,9,-9.601,1,0.37,0.157,0.000108,0.067,0.159,179.666
4pdPtRcBmOSQDlJ3Fk945m,Let Me Love You,540vIaP2JwjQb9dm3aArA4,DJ Snake,55bbXORm6ZrVq52zfZnxBf,205946,2016-08-05,3,0.476,0.718,8,-5.309,1,0.0576,0.0784,1.02e-05,0.122,0.142,199.864
5aAx2yezTd8zXrkmtKl66Z,Starboy,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,09fggMHib4YkOtwQNXEBII,230453,2016-11-25,3,0.681,0.594,7,-7.028,1,0.282,0.165,3.49e-06,0.134,0.535,186.054
4izP2KMwrhAdZEtIyp8Z8w,Jumpshot,46GXASE9LHzyssNqKOInUu,Dawin,2JtS8H9AIn9oSE9Hja7GIs,209093,2016-07-29,0,0.909,0.63,6,-3.9,0,0.0852,0.19,0.0,0.0291,0.803,97.027
6DNtNfH8hXkqOX1sjqmI7p,Cold Water (feat. Justin Bieber & MØ),738wLrAtLtCtFOLvQBXOXp,Major Lazer,3o99825qhG7K7D07naRs4F,185351,2016-07-22,2,0.608,0.798,6,-5.092,0,0.0432,0.0736,0.0,0.156,0.501,92.943
5bZtRlMBU76vHuDOb1GM5u,Perfect Strangers,1HBjj22wzbscIZ9sEb5dyf,Jonas Blue,0zMLyv1kNV2B0LDGEK2RbB,195313,2017-07-14,46,0.739,0.833,1,-5.012,1,0.0463,0.35,0.0,0.266,0.699,117.99
1PSBzsahR2AKwLJgx8ehBj,Bad Things (with Camila Cabello),6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,3yWRq9Dd2UO5xyqxTjLDmp,239293,2017-05-12,75,0.697,0.691,2,-4.757,1,0.146,0.214,0.0,0.185,0.305,137.853
3NdDpSvN911VPGivFlV5d0,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",5ZsFI1h6hIdQRw2ti0hz81,ZAYN,5MxXY7DbFMUiHFTPUabgJJ,245200,2016-12-09,3,0.735,0.451,0,-8.374,1,0.0585,0.0631,1.3e-05,0.325,0.0862,117.973
4b4KcovePX8Ke2cLIQTLM0,All Night,7gAppWoH7pcYmphCVTXkzs,The Vamps,52bwpFP1d8uri0V5oWQLF0,197640,2017-07-14,1,0.544,0.809,8,-5.098,1,0.0363,0.0038,0.0,0.323,0.448,145.017
04DwTuZ2VBdJCCC5TROn7L,In the Name of Love,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,75kX486cBBkuaLkZGjBptl,195840,2017-04-21,24,0.49,0.485,4,-6.237,0,0.0406,0.0592,0.0,0.337,0.196,133.889
4pLwZjInHj3SimIyN9SnOz,Side To Side,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,4lVR2fg3DAUQpGVJ6DciHW,226160,2016-05-20,3,0.648,0.738,6,-5.883,0,0.247,0.0408,0.0,0.292,0.603,159.145
